name,park_name,city_name,state_name,country_name,popularity,length,elevation_gain,difficulty_rating,route_type,visitor_usage,avg_rating,num_reviews,species_count,bio_category_count,abundance_total,conservation_total,features_list,activities_list,principal component 1,principal component 2,principal component 3,principal component 4,Class
Stanford Point Trail,Yosemite National Park,Yosemite Valley,California,United States,9.1179,13357.522,881.7864,5,out and back,1.0,4.5,34,2043,6,749,92,58,37,-1.2913771054624263,-0.9130616112781382,0.4909415868968399,0.802874747119462,1
Dog Lake Trail,Yosemite National Park,Yosemite Valley,California,United States,8.9558,5793.624,186.8424,1,loop,4.0,4.5,33,2043,6,749,92,46,48,-1.7321907290650935,-0.027493042900807608,-0.9773498364251082,-0.01329210315833424,1
Dewey Point via McGurk Meadow Trail,Yosemite National Park,Yosemite Valley,California,United States,8.9017,12070.05,386.7912,3,out and back,2.0,4.5,61,2043,6,749,92,58,10,-1.6333564793299504,-0.4397698309131862,-0.5580612236653816,1.1244367186255462,1
Taft Point via Glacier Point,Yosemite National Park,Yosemite Valley,California,United States,8.7899,12070.05,594.9696,3,out and back,,5.0,19,2043,6,749,92,42,48,-1.4941847349291917,-0.5858490825887939,-0.2051332228910486,0.5756301801959567,1
John Muir Trail: Tuolumne to Reds Meadow,Yosemite National Park,Yosemite Valley,California,United States,8.725,52464.484,1644.7008,5,point to point,,5.0,20,2043,6,749,92,57,41,-0.9211538269722103,-1.7768138505303535,1.6863698089729442,0.9811326625723485,2
The Pohono Trail from Inspiration Point,Yosemite National Park,Yosemite Valley,California,United States,8.6733,36210.15,1936.6992,7,loop,3.0,5.0,19,2043,6,749,92,71,48,-0.8035566122288954,-1.7685724369322664,2.334925506972029,0.8587555890740737,2
John Muir Trail: Happy Isles to Tuolumne Meadows,Yosemite National Park,Yosemite Valley,California,United States,8.5927,33635.206,2144.8776,5,point to point,,4.5,16,2043,6,749,92,115,58,-0.887448502111199,-1.0716921625192055,2.754649932877756,-0.7708746352026655,2
Soda Springs and Parsons Lodge Trail,Yosemite National Park,Yosemite Valley,California,United States,8.5893,2574.944,15.8496,1,out and back,2.0,4.0,40,2043,6,749,92,75,21,-1.8328539493909735,0.2335086241342622,-1.0736568444481696,-0.0934854572302658,1
Pohono Trail: Glacier Point to Dewey Point,Yosemite National Park,Yosemite Valley,California,United States,8.5779,32186.8,1365.8088,3,loop,,5.0,15,2043,6,749,92,57,47,-1.229140549172227,-1.0638636153287888,0.8094332830389406,0.414700346967378,1
PCT: CA Section I - Tuolumne Meadow to Sonora Pass,Yosemite National Park,Yosemite Valley,California,United States,8.1637,109917.922,4210.812,5,point to point,,5.0,5,2043,6,749,92,66,84,0.058466764280847544,-3.5308092795919266,4.792291852387422,0.11246148319022607,2
